"Code","Harvest","Litter","f2b_prot","cue","nue","pue"
"E1-A-I-A","I","AK",5.4,,,
"E1-A-I-C","I","AK",5.4,,,
"E1-A-I-D","I","AK",5.4,,,
"E1-A-I-E","I","AK",5.4,,,
"E1-A-I-F","I","AK",5.4,,,
"E1-A-II-A","II","AK",1.1,0.2333425476,0.8677290688,0.1824796335
"E1-A-II-B","II","AK",1.1,0.0960711965,,0.1200459703
"E1-A-II-C","II","AK",1.1,0.2433464525,0.8674887558,0.0848846847
"E1-A-II-D","II","AK",1.1,0.22563913,0.9341313134,0.1565386698
"E1-A-II-E","II","AK",1.1,0.2673584787,0.9464120327,0.1084934468
"E1-A-III-A","III","AK",1.8,0.1422031364,0.9563288565,0.1364921041
"E1-A-III-B","III","AK",1.8,0.1257611839,0.983704512,0.4296950833
"E1-A-III-C","III","AK",1.8,0.1041168077,0.9756409532,0.1431335066
"E1-A-III-D","III","AK",1.8,0.1295208199,0.9790072924,0.1536154292
"E1-A-III-E","III","AK",1.8,0.1098211079,0.9803175222,0.2531043302
"E1-A-IV-B","IV","AK",1.72773,,,
"E1-A-IV-C","IV","AK",1.72773,,,
"E1-A-IV-D","IV","AK",1.72773,,,
"E1-A-IV-E","IV","AK",1.72773,,,
"E1-A-IV-F","IV","AK",1.72773,,,
"E1-K-I-A","I","KL",9,,,
"E1-K-I-B","I","KL",9,,,
"E1-K-I-C","I","KL",9,,,
"E1-K-I-D","I","KL",9,,,
"E1-K-I-E","I","KL",9,,,
"E1-K-II-A","II","KL",4.5,0.1967521293,0.6969483393,0.3337330082
"E1-K-II-B","II","KL",4.5,0.2679815313,0.8823408683,0.2305625814
"E1-K-II-C","II","KL",4.5,0.270879502,0.841770885,0.7996792902
"E1-K-II-D","II","KL",4.5,0.2169620575,0.7728935121,0.7321866577
"E1-K-II-E","II","KL",4.5,0.2815789276,0.7962620226,0.1811092192
"E1-K-III-A","III","KL",2.6,0.1406996402,0.8532570897,0.2466444353
"E1-K-III-B","III","KL",2.6,0.1419943771,0.7498183866,
"E1-K-III-C","III","KL",2.6,0.1469411101,0.9374301678,0.3383651091
"E1-K-III-D","III","KL",2.6,0.1618562276,0.9185051818,
"E1-K-III-E","III","KL",2.6,0.1860882637,0.9470467074,0.2407168835
"E1-K-IV-B","IV","KL",1.92777,,,
"E1-K-IV-C","IV","KL",1.92777,,,
"E1-K-IV-D","IV","KL",1.92777,,,
"E1-K-IV-E","IV","KL",1.92777,,,
"E1-K-IV-F","IV","KL",1.92777,,,
"E1-O-I-A","I","OS",4.9,,,
"E1-O-I-B","I","OS",4.9,,,
"E1-O-I-C","I","OS",4.9,,,
"E1-O-I-D","I","OS",4.9,,,
"E1-O-I-E","I","OS",4.9,,,
"E1-O-II-A","II","OS",5.8,0.2275263199,0.9484547472,0.6092752474
"E1-O-II-B","II","OS",5.8,0.164228248,0.7743802339,0.2381144234
"E1-O-II-C","II","OS",5.8,0.2334483266,0.9771831859,0.1460210602
"E1-O-II-D","II","OS",5.8,0.2261030661,0.9484085239,0.1999775445
"E1-O-II-E","II","OS",5.8,0.2483720636,0.9445499296,0.5560685847
"E1-O-III-A","III","OS",3.3,0.1439548344,0.9705511849,
"E1-O-III-B","III","OS",3.3,0.1629835855,0.97517768,
"E1-O-III-C","III","OS",3.3,0.1351751121,0.9521682812,0.444047191
"E1-O-III-D","III","OS",3.3,0.1409281663,0.9747926014,
"E1-O-III-E","III","OS",3.3,0.1533523216,0.9122385672,
"E1-O-IV-B","IV","OS",1.76016,,,
"E1-O-IV-C","IV","OS",1.76016,,,
"E1-O-IV-D","IV","OS",1.76016,,,
"E1-O-IV-E","IV","OS",1.76016,,,
"E1-O-IV-F","IV","OS",1.76016,,,
"E1-S-I-A","I","SW",12.1,,,
"E1-S-I-B","I","SW",12.1,,,
"E1-S-I-C","I","SW",12.1,,,
"E1-S-I-D","I","SW",12.1,,,
"E1-S-I-E","I","SW",12.1,,,
"E1-S-II-A","II","SW",5.6,0.4285606968,0.8301924859,0.1476050604
"E1-S-II-B","II","SW",5.6,0.3586294086,0.816871447,0.221591074
"E1-S-II-C","II","SW",5.6,0.3835528583,0.8314664779,0.5808561169
"E1-S-II-D","II","SW",5.6,0.4321911069,0.7272419562,0.4664663012
"E1-S-II-E","II","SW",5.6,0.2270067839,0.9144672238,
"E1-S-III-A","III","SW",4.4,,,0.3364165046
"E1-S-III-B","III","SW",4.4,0.2321430675,0.8395291682,
"E1-S-III-C","III","SW",4.4,0.244835581,0.8688596693,0.3412563328
"E1-S-III-D","III","SW",4.4,0.2359928536,0.8642239484,0.2714989886
"E1-S-III-E","III","SW",4.4,0.2041873836,0.8391115068,0.1914363711
"E1-S-IV-B","IV","SW",2.80513,,,
"E1-S-IV-C","IV","SW",2.80513,,,
"E1-S-IV-D","IV","SW",2.80513,,,
"E1-S-IV-E","IV","SW",2.80513,,,
"E1-S-IV-F","IV","SW",2.80513,,,
